"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"hsa-let-7a-3p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-let-7a-5p",89.4922366666667,99.38393,89.4922366666667,1902.11516666667,2133.22976666667,2133.22976666667,256.390536666667,236.136723333333,250.63573,6.05418666666667,7.60166133333333,5.28540066666667,2.52278733333333,2.52278733333333,967.273533333333,967.273533333333,916.434133333333,1535.36296666667,1535.36296666667,85.31851,83.1248633333333,103.419106666667,626.801,626.801,626.801,4613.77333333333,5748.65933333333,4613.77333333333,5748.65933333333,5748.65933333333
"hsa-let-7b-3p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.157791,0.1,0.1,0.1,0.1,0.1,11.7224446666667,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-let-7b-5p",164.517776666667,155.904523333333,137.022673333333,777.966733333333,1001.9816,1001.9816,138.39552,137.022673333333,137.022673333333,191.512736666667,197.541783333333,175.850886666667,651.2356,651.2356,233.791256666667,236.136723333333,223.794056666667,1454.52516666667,1393.60066666667,230.640766666667,210.778706666667,219.835596666667,502.318933333333,448.22137,470.864133333333,4051.796,4051.796,4051.796,4051.796,4051.796
"hsa-let-7c",22.0984213333333,20.991164,18.97011,405.729466666667,448.22137,448.22137,43.5270713333333,40.3613823333333,42.0944926666667,11.0252363333333,13.5073823333333,10.3748856666667,34.3005863333333,29.501111,115.500513333333,110.49741,107.123873333333,428.1029,448.22137,33.4154636666667,30.4270116666667,35.9770346666667,133.136616666667,134.718656666667,134.718656666667,1987.6156,1987.6156,2133.22976666667,2133.22976666667,2273.39443333333
"hsa-let-7d-3p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.906817333333333,4.87152633333333,0.1,0.1,0.1,0.1,7.00161633333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-let-7d-5p",14.7709123333333,15.4163443333333,14.4216906666667,116.624406666667,133.136616666667,133.136616666667,24.1249606666667,23.3216193333333,22.8019933333333,0.1,0.1,0.1,1.98753066666667,1.938018,80.43092,77.01939,77.7113733333333,133.136616666667,134.718656666667,7.07070633333333,5.07685266666667,5.61604366666667,55.6458773333333,59.645553,58.6235996666667,1042.40193333333,1081.16663333333,1081.16663333333,1123.8875,1081.16663333333
"hsa-let-7e-3p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-let-7e-5p",17.159441,16.90926,16.0795136666667,448.22137,540.857333333333,526.979933333333,109.657476666667,107.123873333333,105.875386666667,0.1,2.21795466666667,0.1,2.278029,2.93229966666667,651.2356,663.971733333333,626.801,470.864133333333,482.067033333333,35.3061213333333,31.5059486666667,39.3398156666667,368.829336666667,376.98764,376.98764,1421.01723333333,1393.60066666667,1454.52516666667,1317.27186666667,1421.01723333333
"hsa-let-7f-1-3p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"hsa-let-7f-2-3p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.0294193333333,0.1,0.1,0.1,0.1,0.1
"hsa-let-7f-5p",26.5460556666667,28.3381266666667,23.513658,502.318933333333,701.9895,585.889733333333,82.0109933333333,74.8139366666667,77.01939,0.1,0.1,0.1,0.1,0.1,416.105786666667,437.054603333333,428.1029,461.392896666667,526.979933333333,23.3216193333333,21.2756686666667,31.8345743333333,241.850523333333,256.390536666667,256.390536666667,2133.22976666667,2133.22976666667,2273.39443333333,2273.39443333333,2133.22976666667
"hsa-let-7g-3p",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
