rownames	FileName	Treatment	GErep	Subject
GSM6364066	GSM6364066_26_R1.txt	A	1	26
GSM6364067	GSM6364067_26_R2.txt	A	2	26
GSM6364068	GSM6364068_26_R3.txt	A	3	26
GSM6364069	GSM6364069_27_R1.txt	A	1	27
GSM6364070	GSM6364070_27_R2.txt	A	2	27
GSM6364071	GSM6364071_27_R3.txt	A	3	27
GSM6364072	GSM6364072_3_R1.txt	A	1	3
GSM6364073	GSM6364073_3_R2.txt	A	2	3
GSM6364074	GSM6364074_3_R3.txt	A	3	3
GSM6364075	GSM6364075_48_R1.txt	A	1	48
GSM6364076	GSM6364076_48_R2.txt	A	2	48
GSM6364077	GSM6364077_48_R3.txt	A	3	48
GSM6364078	GSM6364078_49_R2.txt	A	2	49
GSM6364079	GSM6364079_49_R3.txt	A	3	49
GSM6364080	GSM6364080_50_R1.txt	A	1	50
GSM6364081	GSM6364081_50_R2.txt	A	2	50
GSM6364082	GSM6364082_50_R3.txt	A	3	50
GSM6364083	GSM6364083_51_R1.txt	A	1	51
GSM6364084	GSM6364084_51_R2.txt	A	2	51
GSM6364085	GSM6364085_52_R1.txt	A	1	52
GSM6364086	GSM6364086_52_R2.txt	A	2	52
GSM6364087	GSM6364087_52_R3.txt	A	3	52
GSM6364088	GSM6364088_53_R1.txt	A	1	53
GSM6364089	GSM6364089_53_R2.txt	A	2	53
GSM6364090	GSM6364090_53_R3.txt	A	3	53
GSM6364091	GSM6364091_C1_R1.txt	A	1	1
GSM6364092	GSM6364092_C1_R2.txt	A	2	1
GSM6364093	GSM6364093_C1_R3.txt	A	3	1
GSM6364094	GSM6364094_C2_R1.txt	A	1	2
GSM6364095	GSM6364095_C2_R2.txt	A	2	2
